col,row,plot_number,tree_no,plot_id,Phy_zone,X_tree_and_climber_position,forest_stand,bearing,distance,distance_unit_name,species,species_name,Species_Name,dbh,quality_class,crown_class,lopping,sample_tree_type,height,crown_height,base_tree_height,base_crown_height,base_slope,age,radial_growth,height_m,remarks,diameter_p
3,76,6,3,3-76-6,1,3,1,110,6.4,m,6419,Mallotus philippensis,Mallotus philippensis,33,3,2,0,1,13.1,3.3,0,0,NA,0,0,13.1,--,33
3,76,6,4,3-76-6,1,4,1,120,17.2,m,6419,Mallotus philippensis,Mallotus philippensis,33,2,1,0,13,18.2,5.6,0,0,NA,0,0,18.2,DBH TAKEN AT 1.5M,33
3,76,6,5,3-76-6,1,5,1,138,11,m,6127,Bauhinia purpurea,OTHERS-1,22.3,3,2,0,4,11.6,2.2,2,0.4,0,0,0,11.8,--,22.3
3,76,6,6,3-76-6,1,6,1,139,2.1,m,6168,Casearia elliptica,OTHERS-1,5.8,3,3,0,4,6.5,3.6,0.1,0.1,0,0,0,6.5,--,5.8
3,76,6,11,3-76-6,1,11,1,237,4.8,m,6419,Mallotus philippensis,Mallotus philippensis,13,3,3,0,4,8.6,3.7,0,0,NA,0,0,8.6,--,13
3,76,6,12,3-76-6,1,12,1,254,17.7,m,6419,Mallotus philippensis,Mallotus philippensis,37.5,3,3,0,0,NA,NA,NA,NA,NA,0,0,NA,--,37.5
3,76,6,13,3-76-6,1,13,1,270,1.4,m,6651,Syzygium cumini,Eugenia jambolana,106,1,1,0,1,24.2,7.3,0,0,NA,0,0,24.2,twicely measured,106
3,76,6,14,3-76-6,1,14,1,270,10.5,m,6651,Syzygium cumini,Eugenia jambolana,76.5,1,1,0,0,NA,NA,NA,NA,NA,0,0,NA,--,76.5
3,76,6,15,3-76-6,1,15,1,318,16.9,m,6419,Mallotus philippensis,Mallotus philippensis,74,3,3,0,0,NA,NA,NA,NA,NA,0,0,NA,"hollow, diseased",74
3,76,6,16,3-76-6,1,16,1,322,4.7,m,6419,Mallotus philippensis,Mallotus philippensis,30.5,3,3,0,0,NA,NA,NA,NA,NA,0,0,NA,--,30.5
3,76,6,17,3-76-6,1,17,1,322,4.7,m,6419,Mallotus philippensis,Mallotus philippensis,33.5,3,5,0,0,NA,NA,NA,NA,NA,0,0,NA,--,33.5
3,76,6,18,3-76-6,1,18,1,343,9,m,6419,Mallotus philippensis,Mallotus philippensis,31.3,3,2,0,1,15,2.1,1.3,0.5,0,0,0,15.1,previous dbh was wrong,31.3
4,76,1,1,4-76-1,101,1,1,61,11.1,m,6615,Shorea robusta,Shorea robusta,61.3,1,1,0,1,24.9,10.5,0,0,NA,0,0,24.9,--,61.3
4,76,1,2,4-76-1,101,2,1,65,17.6,m,6615,Shorea robusta,Shorea robusta,44.5,1,1,0,0,NA,NA,NA,NA,NA,0,0,NA,--,44.5
4,76,1,3,4-76-1,101,3,1,115,6.3,m,6207,Cleistocalyx operculatus,Cleistocalyx operculatus,19.4,2,2,0,0,NA,NA,NA,NA,NA,0,0,NA,--,19.4
